gameID,leagueID,season,date,homeTeamID,awayTeamID,homeGoals,awayGoals,homeProbability,drawProbability,awayProbability,homeGoalsHalfTime,awayGoalsHalfTime,B365H,B365D,B365A
133,1,2015,2015-09-19 18:00:00,71,76,0,1,0.3959,0.3707,0.2334,0,1,2.3,3.25,3.5
134,1,2015,2015-09-19 18:00:00,73,77,2,0,0.2375,0.3629,0.3996,2,0,1.7,4.0,5.5
135,1,2015,2015-09-19 18:00:00,85,75,2,2,0.3009,0.3324,0.3667,2,0,2.5,3.4,3.0
136,1,2015,2015-09-19 18:00:00,84,72,0,0,0.1553,0.2346,0.6101,0,0,2.3,3.4,3.4
137,1,2015,2015-09-19 20:30:00,88,81,1,2,0.8408,0.1177,0.0415,1,2,1.29,6.5,11.0
138,1,2015,2015-09-20 16:30:00,82,78,1,0,0.4732,0.3412,0.1856,0,0,2.0,3.6,4.0
139,1,2015,2015-09-20 19:00:00,74,89,2,3,0.4195,0.2506,0.3299,1,1,3.1,3.3,2.5
140,1,2015,2015-09-20 19:00:00,87,79,1,1,0.7195,0.1996,0.0809,0,0,1.67,4.0,5.75
141,1,2015,2015-09-26 15:45:00,82,88,4,1,0.5584,0.2208,0.2208,1,1,4.2,3.8,1.91
142,1,2015,2015-09-26 18:00:00,74,84,3,1,0.3655,0.3128,0.3217,1,0,2.05,3.4,4.2
143,1,2015,2015-09-26 18:00:00,85,73,2,1,0.6734,0.2181,0.1085,1,0,2.55,3.3,3.0
144,1,2015,2015-09-26 18:00:00,75,83,2,5,0.0518,0.0888,0.8594,1,2,4.5,4.0,1.8
145,1,2015,2015-09-26 18:00:00,87,71,3,2,0.5951,0.2444,0.1605,1,0,1.53,4.33,7.0
146,1,2015,2015-09-26 18:00:00,89,77,3,0,0.8918,0.0905,0.0177,1,0,1.2,7.5,16.0
147,1,2015,2015-09-26 18:00:00,81,79,2,2,0.6699,0.1845,0.1456,1,1,2.25,3.5,3.4
148,1,2015,2015-09-26 20:30:00,86,80,2,2,0.1859,0.291,0.5231,1,0,6.0,4.2,1.62
149,1,2015,2015-09-27 19:00:00,90,78,0,1,0.0569,0.1435,0.7996,0,0,2.5,3.3,3.1
150,1,2015,2015-09-28 23:00:00,76,72,2,3,0.1438,0.2157,0.6405,1,0,3.1,3.3,2.5
151,1,2015,2015-10-03 15:45:00,78,76,2,0,0.8739,0.1063,0.0198,0,0,1.83,3.6,5.0
